song,artist,uri
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,spotify:track:4QNpBfC0zvjKqPJcyqBy9W
Summer,Calvin Harris,spotify:track:6YUTL4dYpB9xZO5qExPf05
TiK ToK,Kesha,spotify:track:6nYoTBmGFNgfTyRC8x1Fvp
Good Feeling,Flo Rida,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8
One More Night,Maroon 5,spotify:track:6cpk00i5TxCqSeqNi2HuIe
Mirrors,Justin Timberlake,spotify:track:4rHZZAmHpZrA3iH5zx8frV
All I Wanna Do,Martin Jensen,spotify:track:0BiGd2FNDQ0eh79ZHfp6tS
Kill Em With Kindness,Selena Gomez,spotify:track:7KxhSJOYiqCDclXDBNlFSZ
Make Me... (feat. G-Eazy) (feat. G-Eazy),Britney Spears,spotify:track:0YSJCrlSWF3meRTNCu54WI
Right Round,Flo Rida,spotify:track:3GpbwCm3YxiWDvy29Uo3vP
Please Don't Leave Me,P!nk,spotify:track:1VMW5hTQQ0C0pt19cc6Vi7
Misery,Maroon 5,spotify:track:25ExfwA81qF88DbaUrVs4k
Unconditionally,Katy Perry,spotify:track:6OaYLWpreRh9EoLYwrS75P
I Wanna Go,Britney Spears,spotify:track:5cCAZS9VhLGEDV4NCfieeg
Hold It Against Me,Britney Spears,spotify:track:7Dyq1bhhjknLKEGg4k5NLr
Criminal,Britney Spears,spotify:track:6T689Jvh5KrSXyaPtUWZtQ
Radar,Britney Spears,spotify:track:0awvRwer2ByXjyDSON60Q3
Only Girl (In The World),Rihanna,spotify:track:0AH6WMe3OlAlUb5miXt2FQ
What's My Name?,Rihanna,spotify:track:5FTCKvxzqy72ceS4Ujux4N
Snadi,Roope Salminen & Koirat,spotify:track:1xLyXQzNEgVzNxaocJLLCF
Terassilta lentoon (feat. Mäkki),HesaÄijä,spotify:track:32tCXq6ooMJSsi2m0v8xxG
#SELFIE,The Chainsmokers,spotify:track:0zkiQH567SDLqfWNBaU3hv
Red Lights,Tiësto,spotify:track:015IsLQFXbEm0f541N2qoX
Paradise,Coldplay,spotify:track:6nek1Nin9q48AVZcWs9e9D
Can't Believe It (feat. Pitbull),Flo Rida,spotify:track:1kxyZ2SpflM1ogD0B5hgfX
Ladykiller,Maroon 5,spotify:track:0QAGWzqWxxbCVdPdglYNsw
Slow Down,Selena Gomez,spotify:track:3KC5FFplKpLMBCppRmGVpD
Burn,Ellie Goulding,spotify:track:6B8CAgQ38mWf7xTvFtC0BB
Wicked Wonderland,Tungevaag,spotify:track:0zQXwzM2gtGfClqBBTsKXp
Until The End - Monday 2 Friday Radio Edit,Master Blaster,spotify:track:2bzue3UgOCyitcV2z1bOLO
Juomalaulu,Spekti,spotify:track:1L76HxtZkpUx00RiNJ5UCf
